
 The run is 10000 proton of 69 MeV through 20 m   of C12 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	16.8789 cm  +- 16.694 cm 	massic: 75.4825 g/cm2 
 CrossSection:	0.0592455 cm^-1 		massic: 1.32481 mm2/g 
 crossSection per atom:	263.988 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 1.3324 mm2/g 	265.5 mbarn 
               total= 1.3324 mm2/g 	265.5 mbarn 

 List of nuclear reactions: 

                proton + C12 --> proton + deuteron + He3 + Li7:       8   Q = -42.9731 MeV
             proton + C12 --> proton + deuteron + triton + Be7:       3   Q = -43.8542 MeV
             proton + C12 --> proton + neutron + 2 alpha + He3:     588   Q = -27.851 MeV
          proton + C12 --> proton + neutron + 2 deuteron + Be7:       1   Q = -50.1116 MeV
                       proton + C12 --> proton + neutron + C11:       4   Q = -18.7216 MeV
                proton + C12 --> proton + neutron + C11[0.079]:       1   Q = -18.7217 MeV
                proton + C12 --> proton + neutron + C11[0.156]:       1   Q = -18.7218 MeV
                proton + C12 --> proton + neutron + C11[0.352]:       1   Q = -18.722 MeV
                proton + C12 --> proton + neutron + C11[0.687]:       1   Q = -18.7223 MeV
                proton + C12 --> proton + neutron + C11[0.933]:       1   Q = -18.7226 MeV
